hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
"Resort Hotel",0,0,2015,November,45,5,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,"No Deposit",NULL,0,Transient,35,0,0,Check-Out,2015-11-06
"Resort Hotel",0,0,2015,November,45,6,0,1,2,1,0,HB,PRT,Direct,Direct,0,0,0,A,C,0,"No Deposit",250,0,Transient,93,0,0,Check-Out,2015-11-07
"Resort Hotel",0,0,2015,November,45,6,0,2,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,0,Transient,54,0,1,Check-Out,2015-11-08
"Resort Hotel",0,0,2015,November,45,6,0,2,2,1,0,HB,GBR,"Online TA",TA/TO,0,0,0,A,C,1,"No Deposit",241,0,Transient,77,1,0,Check-Out,2015-11-08
"Resort Hotel",0,0,2015,November,45,7,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,0,Transient,52,1,1,Check-Out,2015-11-08
"Resort Hotel",0,0,2015,November,45,7,1,1,2,0,0,HB,ESP,"Online TA",TA/TO,0,0,0,E,F,1,"No Deposit",240,0,Transient,104,1,1,Check-Out,2015-11-09
"Resort Hotel",0,0,2015,November,46,9,1,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,C,1,"No Deposit",334,0,Group,48,0,0,Check-Out,2015-11-10
"Resort Hotel",0,0,2015,November,46,9,1,1,3,1,0,BB,PRT,"Online TA",TA/TO,0,0,0,H,H,1,"No Deposit",240,0,Transient,108,1,0,Check-Out,2015-11-11
"Resort Hotel",0,0,2015,November,46,10,0,2,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,0,Transient,58,0,0,Check-Out,2015-11-12
"Resort Hotel",0,0,2015,November,46,11,0,4,2,0,0,BB,CHE,"Online TA",TA/TO,0,0,0,D,D,1,"No Deposit",240,0,Transient,73,0,0,Check-Out,2015-11-15
"Resort Hotel",0,0,2015,November,47,16,0,0,2,1,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",6,0,Transient,0,0,1,Check-Out,2015-11-16
"Resort Hotel",0,0,2015,November,47,17,0,0,2,0,1,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,E,0,"No Deposit",321,0,Transient,0,1,1,Check-Out,2015-11-17
"Resort Hotel",0,0,2015,November,48,23,0,0,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,0,0,1,Check-Out,2015-11-23
"Resort Hotel",0,0,2015,October,41,4,2,0,2,0,0,BB,TUR,"Online TA",TA/TO,0,0,0,A,D,0,"No Deposit",240,0,Transient-Party,56,0,0,Check-Out,2015-10-06
"Resort Hotel",0,0,2015,October,42,11,1,0,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,0,Transient,66,0,1,Check-Out,2015-10-12
"Resort Hotel",0,0,2015,October,42,12,0,0,0,0,0,SC,PRT,Corporate,Corporate,0,0,0,A,I,0,"No Deposit",NULL,0,Transient,0,0,0,Check-Out,2015-10-12
"Resort Hotel",0,0,2015,October,42,12,0,0,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,A,0,"No Deposit",240,0,Transient,0,0,2,Check-Out,2015-10-12
"Resort Hotel",0,0,2015,October,42,12,1,1,1,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",96,0,Transient,37,0,0,Check-Out,2015-10-14
"Resort Hotel",0,0,2015,October,42,13,0,2,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,47,0,1,Check-Out,2015-10-15
"Resort Hotel",0,0,2015,October,42,14,0,1,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,0,Transient,56,0,2,Check-Out,2015-10-15
"Resort Hotel",0,0,2015,October,42,14,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,0,Transient,56,0,0,Check-Out,2015-10-15
"Resort Hotel",0,0,2015,October,42,16,2,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,58,1,0,Check-Out,2015-10-20
"Resort Hotel",0,0,2015,October,43,19,1,1,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,D,0,"No Deposit",240,0,Transient,56,1,1,Check-Out,2015-10-21
"Resort Hotel",0,0,2015,October,43,21,0,0,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,I,0,"No Deposit",240,0,Transient,0,0,2,Check-Out,2015-10-21
"Resort Hotel",0,0,2015,October,43,22,2,5,2,0,0,BB,GBR,"Offline TA/TO",TA/TO,0,0,0,A,D,0,"No Deposit",243,0,Transient,43,0,1,Check-Out,2015-10-29
"Resort Hotel",0,0,2015,October,44,27,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,48,1,1,Check-Out,2015-10-28
"Resort Hotel",0,0,2015,October,44,27,0,2,2,0,0,BB,AUS,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,48,0,1,Check-Out,2015-10-29
"Resort Hotel",0,0,2015,October,44,27,0,2,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,58,0,2,Check-Out,2015-10-29
"Resort Hotel",0,0,2015,October,44,28,0,1,1,0,0,BB,DEU,Corporate,Corporate,0,0,0,A,D,0,"No Deposit",NULL,0,Transient,48,0,0,Check-Out,2015-10-29
"Resort Hotel",0,0,2015,October,44,31,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,D,0,"No Deposit",240,0,Transient,49,0,0,Check-Out,2015-11-01
"Resort Hotel",0,0,2015,October,44,31,0,1,2,1,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,D,1,"No Deposit",240,0,Transient,49,0,0,Check-Out,2015-11-01
"Resort Hotel",0,0,2015,October,44,31,1,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,"No Deposit",250,0,Transient,48,0,0,Check-Out,2015-11-02
"Resort Hotel",0,0,2015,October,44,31,2,1,2,0,0,BB,FRA,"Online TA",TA/TO,0,0,0,E,G,1,"No Deposit",240,0,Transient,69,0,1,Check-Out,2015-11-03
"Resort Hotel",0,0,2015,September,36,1,0,5,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,1,"No Deposit",250,0,Transient,128,0,0,Check-Out,2015-09-06
"Resort Hotel",0,0,2015,September,36,2,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,"No Deposit",88,0,Transient,134,0,0,Check-Out,2015-09-03
"Resort Hotel",0,0,2015,September,36,4,0,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,E,0,"No Deposit",250,0,Transient,131,0,0,Check-Out,2015-09-05
"Resort Hotel",0,0,2015,September,36,4,0,1,2,0,0,BB,ITA,Corporate,Corporate,0,0,0,D,F,1,"No Deposit",NULL,0,Transient,124,1,0,Check-Out,2015-09-05
"Resort Hotel",0,0,2015,September,37,10,0,1,2,0,0,BB,GBR,"Online TA",TA/TO,0,0,0,A,C,0,"No Deposit",240,0,Transient,131,1,2,Check-Out,2015-09-11
"Resort Hotel",0,0,2015,September,37,11,0,1,2,0,0,BB,ESP,"Offline TA/TO",TA/TO,0,0,0,A,C,0,"No Deposit",142,0,Transient,105,0,0,Check-Out,2015-09-12
"Resort Hotel",0,0,2015,September,37,12,2,5,1,0,0,HB,DEU,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",275,0,Transient,58,0,0,Check-Out,2015-09-19
"Resort Hotel",0,0,2015,September,38,16,0,1,1,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,59,0,1,Check-Out,2015-09-17
"Resort Hotel",0,0,2015,September,38,16,0,1,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,1,"No Deposit",240,0,Transient,65,0,0,Check-Out,2015-09-17
"Resort Hotel",0,0,2015,September,38,16,0,1,2,0,0,BB,NLD,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,74,0,1,Check-Out,2015-09-17
"Resort Hotel",0,0,2015,September,38,16,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,E,E,0,"No Deposit",240,0,Transient,79,1,1,Check-Out,2015-09-17
"Resort Hotel",0,0,2015,September,39,25,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",NULL,0,Group,80,0,0,Check-Out,2015-09-26
"Resort Hotel",0,0,2015,September,40,28,1,0,1,0,0,BB,GBR,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",241,0,Transient,69,1,1,Check-Out,2015-09-29
"Resort Hotel",0,0,2015,September,40,28,1,1,2,0,0,BB,FRA,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,86,1,2,Check-Out,2015-09-30
"Resort Hotel",0,0,2015,September,40,30,0,1,2,0,0,BB,DEU,Corporate,Corporate,0,0,0,G,G,0,"No Deposit",110,0,Transient,90,0,0,Check-Out,2015-10-01
"Resort Hotel",0,0,2016,April,14,1,0,2,1,0,0,BB,GBR,Groups,Direct,0,0,0,A,D,0,"Non Refund",NULL,0,Transient-Party,60,0,0,Check-Out,2016-04-03
"Resort Hotel",0,0,2016,April,16,11,1,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,"No Deposit",NULL,0,Transient,42,1,0,Check-Out,2016-04-14
"Resort Hotel",0,0,2016,January,3,13,0,0,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,I,0,"No Deposit",242,0,Transient,0,0,1,Check-Out,2016-01-13
"Resort Hotel",0,0,2016,March,10,3,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,"No Deposit",NULL,0,Transient,30,0,0,Check-Out,2016-03-04
"Resort Hotel",0,1,2015,August,32,4,0,0,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,F,0,"No Deposit",240,0,Transient,0,0,2,Check-Out,2015-08-04
"Resort Hotel",0,1,2015,August,32,5,0,0,3,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,I,0,"No Deposit",240,0,Transient,0,0,2,Check-Out,2015-08-05
"Resort Hotel",0,1,2015,August,32,7,0,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,F,0,"No Deposit",NULL,0,Transient,114,0,0,Check-Out,2015-08-08
"Resort Hotel",0,1,2015,August,33,13,0,1,3,0,0,BB,IRL,Corporate,Corporate,0,0,0,A,F,0,"No Deposit",NULL,0,Transient,158,1,1,Check-Out,2015-08-14
"Resort Hotel",0,1,2015,August,34,19,0,1,3,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,E,3,"No Deposit",240,0,Transient,153,0,2,Check-Out,2015-08-20
"Resort Hotel",0,1,2015,August,35,27,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,1,"No Deposit",240,0,Transient,153,1,2,Check-Out,2015-08-28
"Resort Hotel",0,1,2015,July,27,2,0,1,2,0,0,BB,ARG,"Online TA",TA/TO,0,0,0,H,H,0,"No Deposit",240,0,Transient,147,1,0,Check-Out,2015-07-03
"Resort Hotel",0,1,2015,July,27,3,0,1,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,C,0,"No Deposit",240,0,Transient,131,0,1,Check-Out,2015-07-04
"Resort Hotel",0,1,2015,July,27,4,1,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,115,0,0,Check-Out,2015-07-06
"Resort Hotel",0,1,2015,July,28,8,0,2,2,0,0,BB,CHE,Corporate,Corporate,0,0,0,A,F,0,"No Deposit",NULL,0,Transient,105,1,1,Check-Out,2015-07-10
"Resort Hotel",0,1,2015,July,28,8,0,4,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,131,1,1,Check-Out,2015-07-12
"Resort Hotel",0,1,2015,July,29,12,1,0,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,80,0,0,Check-Out,2015-07-13
"Resort Hotel",0,1,2015,July,29,12,2,0,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,B,0,"No Deposit",240,0,Transient,115,0,1,Check-Out,2015-07-14
"Resort Hotel",0,1,2015,July,29,14,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,"No Deposit",NULL,0,Transient,134,0,0,Check-Out,2015-07-15
"Resort Hotel",0,1,2015,July,29,14,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,2,"No Deposit",240,0,Transient,8,0,1,Check-Out,2015-07-15
"Resort Hotel",0,1,2015,July,29,14,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,1,"No Deposit",240,0,Transient,146,1,1,Check-Out,2015-07-16
"Resort Hotel",0,1,2015,July,29,17,0,2,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,E,0,"No Deposit",250,0,Transient,145,0,0,Check-Out,2015-07-19
"Resort Hotel",0,1,2015,July,29,17,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,E,0,"No Deposit",240,0,Transient,145,0,0,Check-Out,2015-07-19
"Resort Hotel",0,1,2015,July,30,24,1,2,3,0,0,BB,RUS,"Online TA",TA/TO,0,0,0,H,H,2,"No Deposit",240,0,Transient,223,0,0,Check-Out,2015-07-27
"Resort Hotel",0,1,2015,November,45,1,1,0,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,D,1,"No Deposit",240,0,Transient,44,0,1,Check-Out,2015-11-02
"Resort Hotel",0,1,2015,November,45,4,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,"No Deposit",NULL,0,Transient,35,0,0,Check-Out,2015-11-05
"Resort Hotel",0,1,2015,November,45,6,0,1,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,D,0,"No Deposit",240,0,Transient,36,0,1,Check-Out,2015-11-07
"Resort Hotel",0,1,2015,November,46,13,0,1,2,0,0,BB,ITA,"Online TA",TA/TO,0,0,0,D,F,0,"No Deposit",240,0,Transient,78,0,1,Check-Out,2015-11-14
"Resort Hotel",0,1,2015,October,40,3,0,1,1,0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,"No Deposit",250,0,Transient,90,0,0,Check-Out,2015-10-04
"Resort Hotel",0,1,2015,October,41,4,1,0,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,1,"No Deposit",240,0,Transient,47,0,0,Check-Out,2015-10-05
"Resort Hotel",0,1,2015,October,41,5,1,1,2,0,0,BB,BEL,"Online TA",TA/TO,0,0,0,A,G,0,"No Deposit",240,0,Group,62,0,1,Check-Out,2015-10-07
"Resort Hotel",0,1,2015,October,41,6,0,3,0,0,0,SC,PRT,Corporate,Corporate,0,0,0,A,I,1,"No Deposit",NULL,0,Transient-Party,0,0,0,Check-Out,2015-10-06
"Resort Hotel",0,1,2015,October,41,9,0,1,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,D,0,"No Deposit",240,0,Transient,58,0,0,Check-Out,2015-10-10
"Resort Hotel",0,1,2015,October,41,9,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,"No Deposit",250,0,Transient,67,0,1,Check-Out,2015-10-10
"Resort Hotel",0,1,2015,October,42,11,1,0,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,56,1,0,Check-Out,2015-10-12
"Resort Hotel",0,1,2015,October,42,11,2,0,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,56,1,0,Check-Out,2015-10-13
"Resort Hotel",0,1,2015,October,42,13,0,1,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,47,0,1,Check-Out,2015-10-14
"Resort Hotel",0,1,2015,October,42,13,0,1,2,0,0,BB,GBR,"Online TA",TA/TO,0,0,0,A,E,0,"No Deposit",240,0,Transient,50,0,0,Check-Out,2015-10-14
"Resort Hotel",0,1,2015,October,42,14,0,1,1,0,0,BB,ESP,"Offline TA/TO",TA/TO,0,0,0,A,A,1,"No Deposit",5,0,Transient-Party,38,0,1,Check-Out,2015-10-15
"Resort Hotel",0,1,2015,October,42,14,0,1,1,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,1,"No Deposit",5,0,Transient-Party,38,1,1,Check-Out,2015-10-15
"Resort Hotel",0,1,2015,October,43,23,0,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,D,0,"No Deposit",240,0,Transient,72,1,1,Check-Out,2015-10-25
"Resort Hotel",0,1,2015,October,43,24,0,1,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,D,0,"No Deposit",240,0,Transient,67,0,3,Check-Out,2015-10-25
"Resort Hotel",0,1,2015,October,44,26,1,0,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,54,1,0,Check-Out,2015-10-27
"Resort Hotel",0,1,2015,October,44,27,0,3,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,39,0,1,Check-Out,2015-10-30
"Resort Hotel",0,1,2015,October,44,29,0,1,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,D,0,"No Deposit",240,0,Transient,39,1,0,Check-Out,2015-10-30
"Resort Hotel",0,1,2015,October,44,30,0,0,1,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,0,0,0,Check-Out,2015-10-30
"Resort Hotel",0,1,2015,October,44,31,0,1,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,0,0,A,A,0,"No Deposit",175,0,Transient,39,0,0,Check-Out,2015-11-01
"Resort Hotel",0,1,2015,October,44,31,0,1,2,1,0,BB,ESP,Direct,Direct,0,0,0,E,E,0,"No Deposit",250,0,Transient,58,0,1,Check-Out,2015-11-01
"Resort Hotel",0,1,2015,September,36,3,0,2,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,A,1,"No Deposit",240,0,Transient,131,0,0,Check-Out,2015-09-05
"Resort Hotel",0,1,2015,September,36,4,0,1,2,0,0,BB,FRA,"Online TA",TA/TO,0,0,0,A,F,1,"No Deposit",240,0,Transient,143,1,2,Check-Out,2015-09-05
"Resort Hotel",0,1,2015,September,37,9,1,4,2,0,0,HB,GBR,"Online TA",TA/TO,0,0,0,A,A,1,"No Deposit",240,0,Transient,158,0,0,Check-Out,2015-09-14
"Resort Hotel",0,1,2015,September,37,11,0,2,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,D,0,"No Deposit",240,0,Transient,139,0,0,Check-Out,2015-09-13
"Resort Hotel",0,1,2015,September,37,11,1,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,D,F,0,"No Deposit",240,0,Transient,135,1,1,Check-Out,2015-09-14
"Resort Hotel",0,1,2015,September,37,11,1,2,2,2,0,BB,BRA,"Online TA",TA/TO,0,0,0,H,H,0,"No Deposit",240,0,Group,131,1,0,Check-Out,2015-09-14
"Resort Hotel",0,1,2015,September,38,16,0,1,2,0,0,BB,FRA,"Online TA",TA/TO,0,0,0,A,A,0,"No Deposit",240,0,Transient,74,0,1,Check-Out,2015-09-17
"Resort Hotel",0,1,2015,September,38,16,0,4,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,H,H,0,"No Deposit",240,0,Transient,150,0,0,Check-Out,2015-09-20
"Resort Hotel",0,1,2015,September,38,17,0,0,2,0,0,BB,PRT,"Online TA",TA/TO,0,0,0,A,C,0,"No Deposit",240,0,Transient,0,0,2,Check-Out,2015-09-17
"Resort Hotel",0,1,2015,September,39,26,1,1,2,0,0,BB,ESP,"Online TA",TA/TO,0,0,0,A,H,0,"No Deposit",240,0,Transient,89,0,1,Check-Out,2015-09-28
